"run_id","run_ts","dag_id","strategy","concurrency_limit","batch_size","tables_total","tables_succeeded","tables_failed","tables_retried","dag_duration_sec","avg_table_duration_sec","p95_table_duration_sec","max_table_duration_sec","notes","created_at","run_label","max_db_connections_observed"
"4cf82266-2dcf-44c9-828b-255ffc6335dd",2026-03-05 13:31:46.291 +0100,core_osm_table_generator_parallel_b1_b2,batch,2,2,31,31,0,0,148.112516,7.382692962929967,22.171623447502498,24.831560802995227,,2026-03-05 13:34:16.175 +0100,,
"607035da-bc17-4f9b-ada1-e080e3bc589b",2026-03-05 12:54:16.461 +0100,core_osm_table_generator_parallel_b1_b2,batch,2,2,31,31,0,0,2138.54136,134.3044291915815,326.34443885600194,430.8545273219934,,2026-03-05 13:29:57.594 +0100,,
"2a5ef6d5-22cf-48ec-b4e1-e174a81cef43",2026-03-05 12:35:21.602 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,20,31,31,0,0,140.709017,7.514170233171523,23.093362239480484,26.43435097008478,,2026-03-05 12:37:43.951 +0100,,
"75688ff0-ac70-4792-bcdc-8d9accde65f9",2026-03-05 12:02:41.827 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,20,31,31,0,0,1656.085028,102.03970716604137,282.3454788164818,668.0406513030175,,2026-03-05 12:30:20.170 +0100,,
"4581f16c-fbf4-4b23-905f-3c047c12d3f7",2026-03-05 11:49:46.172 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,10,31,31,0,0,139.885135,8.068929327524177,21.97568578150822,24.796311511076055,,2026-03-05 11:52:08.580 +0100,,
a840562e-9b6b-4dae-a31b-2627ef77f6ee,2026-03-05 11:21:46.921 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,10,31,31,0,0,1542.731695,128.7396785369323,394.9934945749701,479.61683234304655,,2026-03-05 11:47:31.398 +0100,,
d3c72d44-3d02-4beb-9b78-b2e765e57191,2026-03-05 11:11:43.442 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,2,31,31,0,0,102.299656,8.218866333008684,25.5086859909934,28.252628178917803,,2026-03-05 11:13:27.944 +0100,,
"63984fe7-ac36-4da0-a84d-1eb5741f16ae",2026-03-05 10:48:10.847 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,2,31,31,0,0,1333.713427,159.43059084700016,377.497409338539,409.10942448000424,,2026-03-05 11:10:27.895 +0100,,
ae37a251-0ded-4f28-87c0-ac4aa6d0c1cc,2026-03-04 17:03:13.299 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,5,31,31,0,0,114.841346,7.905312412256945,21.879010530537926,24.050182468956336,,2026-03-04 17:05:09.773 +0100,,
c0ce6bef-59af-4811-9585-03ce3f7862e5,2026-03-04 16:36:47.321 +0100,core_osm_table_generator_parallel_b1_b2,batch,4,5,31,31,0,0,1408.777015,140.8313196956766,433.2519094464951,509.1847538970178,,2026-03-04 17:00:18.136 +0100,,
"3d2953d6-34bb-420a-af75-6f404b6a7e5a",2026-03-04 14:38:58.805 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,9999,,31,31,0,0,139.430441,45.15968506239099,82.69731535052415,88.59925649897195,,2026-03-04 14:41:20.556 +0100,,
"10e81cf3-3147-46c6-b1f6-4657d18dd958",2026-03-04 14:20:41.414 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,9999,,31,31,0,2,348.063206,55.202428418144045,249.35497632296756,339.04294961399864,,2026-03-04 14:26:31.360 +0100,,
efe94e30-486c-4395-b4cb-149e68b786e1,2026-03-04 13:44:39.637 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,9999,,31,24,7,0,1846.510347,673.4101421838859,1471.8389015294379,1631.4876469980227,,2026-03-04 14:15:28.854 +0100,,
fee99d2a-6649-45ea-bb00-9083144d9b91,2026-03-04 13:40:01.761 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,20,,31,31,0,0,58.669456,11.110652016892638,33.083766701980494,35.179539805976674,,2026-03-04 13:41:02.707 +0100,,
b37e774e-a00b-4fa6-aaf2-8d2040c02047,2026-03-04 13:25:01.536 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,20,,31,31,0,0,194.249358,51.08792278168708,168.1254861819907,170.6777630369179,,2026-03-04 13:28:17.861 +0100,,
"6be30639-0531-42c4-81e3-f45e7498fbdd",2026-03-04 13:00:45.988 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,20,,31,31,0,0,1397.533693,513.9138248044239,1219.60403592902,1385.789328295039,,2026-03-04 13:24:05.678 +0100,,
"846bac8a-d9e8-4525-8d06-0e5234951d7f",2026-03-04 12:53:45.726 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,10,,31,31,0,0,67.470004,10.690463862502046,32.658750514965504,35.96719543193467,,2026-03-04 12:54:55.380 +0100,,
"5c7b1ff5-2181-4551-81be-a2d56ca406a4",2026-03-04 12:31:01.884 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,10,,31,31,0,0,1332.972357,325.3084930793247,761.9414171389653,819.1863657470094,,2026-03-04 12:53:16.521 +0100,,
"92f0323d-f085-4393-a5c7-31fd1cabd560",2026-03-04 12:07:34.894 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,5,,31,31,0,0,89.717241,9.435892203150527,28.809420616948046,32.632464973954484,,2026-03-04 12:09:07.199 +0100,,
bb0165d6-021c-41a8-ba38-bd846361711d,2026-03-04 11:32:44.906 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,5,,31,31,0,0,1318.758586,190.11624926745125,521.7847899885383,610.4199591559591,,2026-03-04 11:54:46.037 +0100,,
b75dc6e4-009d-4cdc-9b81-850f75a7902f,2026-03-04 10:53:53.762 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,10,,31,31,0,0,55.877753,9.511523091790057,29.951860367960762,32.69935076509137,,2026-03-04 10:54:51.626 +0100,,
"45bc30c9-09c4-42f1-a658-fd4c2cb19bf5",2026-03-04 10:50:58.229 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,10,,31,31,0,0,60.832995,10.333912687590196,29.818164326017722,33.261307056993246,,2026-03-04 10:52:00.935 +0100,,
"028c1c41-73f1-46a5-a0e2-2a26eea51eaa",2026-03-04 10:22:42.745 +0100,core_osm_table_generator_parallel_a1_a4,pure_parallel,10,,31,31,0,0,1039.33282,259.7409088816907,750.9136646340485,898.1550906179473,,2026-03-04 10:40:04.366 +0100,,
